Participant,Event Duration [ms],Visual Intake Position X [px],Visual Intake Position Y [px],Visual Intake Average Pupil Size X [px],Visual Intake Average Pupil Size Y [px],Visual Intake Average Pupil Diameter [mm],Visual Intake Dispersion X [px],Visual Intake Dispersion Y [px],Label
gautami (1),83.3,470.4,554,58,53.6,2.9,1.3,6.8,B
gautami (1),149.5,568.2,487.4,57.4,51,2.8,2.4,3.3,B
gautami (1),763.5,488.1,555.1,54.6,50,2.6,8,35.5,B
gautami (1),1211.4,516,550.7,57,52.5,2.8,26.2,28.1,B
gautami (1),1211.7,544.1,539.7,59,53.2,2.9,40.2,26.5,B
gautami (1),481.6,576.3,536.7,60.9,55.4,3,14.9,9,B
gautami (1),331.7,593.2,535.7,61.6,56.3,3,4.3,9.5,B
gautami (1),531,459.5,629.5,60.7,58.6,3,19.8,29.7,B
gautami (1),348.3,378.9,568.4,58,54.2,2.9,50.8,37.7,B
gautami (1),298.8,539,819.1,59.4,60.4,2.9,54.7,140.1,B
gautami (1),332.3,448.3,466.8,59.6,53,3,15.2,44.6,B
gautami (1),331.9,431.8,505,59.5,54.3,3,9.1,6.8,B
gautami (1),763.2,432.2,506.6,58.4,54.1,3,9.7,13.1,B
gautami (1),298.5,446.4,529.5,60.2,55.8,3,11.9,7.3,B
gautami (1),348.7,470.2,529.9,61,56,3.1,3.5,4.2,B
gautami (1),232.2,481.2,531.9,60.7,56.4,3.1,6.4,3.6,B
gautami (1),215.6,464.3,537.1,61.2,57.4,3.1,5.7,2.5,B
gautami (1),382.1,467.9,535.4,61,56.3,3,2.4,6.7,B
gautami (1),531,474.8,534.5,59.8,55.3,3,9.7,16,B
gautami (1),248.8,944.3,683.1,58.3,58.2,3.1,17,19.4,B
gautami (1),166.1,973.9,686.2,58.3,58.7,3.1,7.9,4.5,B
gautami (1),249.1,894.9,683.6,58.2,56.2,3,7,7.1,B
gautami (1),315.3,911.1,683.1,56.7,56,3,4,4.9,B
gautami (1),149.6,881.8,684.8,57.4,55.2,2.9,2.3,2,B
gautami (1),248.9,910.2,685.6,56.7,56,2.9,2.9,4.4,B
gautami (1),398.3,880.1,680.9,58,57.4,3,3.9,6.6,B
gautami (1),148.9,444,549.9,58,53.9,2.8,7.1,8.2,B
gautami (1),431.4,431,548.2,57.5,53.7,2.8,6.8,6.7,B
gautami (1),182.7,924.7,705.3,57.4,57.1,3,4.4,10.7,B
gautami (1),149.4,906.7,691.6,58.1,57.9,3,2.9,2.5,B
gautami (1),1178.8,882.4,682.1,59.3,57.8,3,26,11.6,B
gautami (1),99.5,430.2,560.4,60.5,56.8,3,3.9,4.3,B
gautami (1),182.6,389.2,558.9,59.4,54.9,2.9,7.8,5.5,B
gautami (1),879.6,684.8,686.2,59.3,57.3,2.9,258.9,44.4,B
gautami (1),198.9,617.8,641.2,58.8,56.3,2.8,9.8,13.6,B
gautami (1),249,612.8,637.8,59.9,57.1,2.9,5,48.8,B
gautami (1),215.8,646.4,570.1,60.7,55.7,3,14.7,36.5,B
gautami (1),315,675,550,60.2,55.4,3,9.9,17.3,B
gautami (1),165.7,717.6,569.5,60.3,55.6,3,26.9,27.1,B
gautami (1),331.9,727,609.7,59.8,54.7,2.7,20.4,32.5,B
gautami (1),265.4,685.7,589.3,61.7,57.1,3,23.3,24.7,B
gautami (1),198.9,690.6,571.7,59.1,54.6,2.9,9.5,8.4,B
gautami (1),215.8,549.7,556.3,57.5,53.8,2.8,22.3,10.4,B
gautami (1),116.1,502,586.7,58.1,54.3,2.8,10.7,20.1,B
gautami (1),298.7,484.1,596,57.1,54.2,2.8,30.4,26.8,B
gautami (1),199.5,509.2,607.9,58.1,55,2.8,3.6,12.8,B
gautami (1),564.3,661.7,606.7,59.3,55.6,2.9,26.5,9.5,B
gautami (1),730.3,667.1,586.5,61.2,57.1,3,16.5,14.2,B
gautami (1),381.4,553.7,584.7,59.6,55.7,2.9,10.5,6.4,B
gautami (1),332.5,581.4,599.2,61.7,58.3,3,3.2,3.9,B
gautami (1),232.1,697.2,605.8,62.6,58.6,3.1,2.8,5,B
gautami (1),149.3,684.7,605.5,63,59,3.1,1.2,2.6,B
gautami (1),216.3,553.9,604.1,61.2,58.8,3,2.8,6.2,B
gautami (1),1476.6,541,605.8,60.5,57,3,17,9,B
gautami (1),481.4,536.4,594.1,59.2,55.7,2.9,3.1,14.7,B
gautami (1),614,731,615.1,59.6,56.7,3,10.7,6.2,B
gautami (1),713.9,556.6,612.4,60.2,57.2,3,4,8.2,B
gautami (1),265.9,547.8,605.6,59.9,56.9,3,2.8,3.3,B
gautami (1),796.4,261.7,491.1,54.9,52.6,2.8,277.6,70.9,B
gautami (1),282,328,546.7,55.1,52.5,2.8,28.7,11.1,B
gautami (1),315.1,344,536.8,55.1,52.4,2.8,13.7,7.5,B
gautami (1),232.5,437.4,594.6,56.2,53.6,2.8,18.6,14.6,B
gautami (1),182.5,849.7,707,57.7,56.6,2.9,17.8,24.4,B
gautami (1),149.3,813,718.8,59.3,58.1,3,4.1,4.9,B
gautami (1),1128.5,806.8,747.2,59.7,59.7,3,19.6,44.6,B
gautami (1),182.4,382.1,596.7,59.4,56.6,3,34,7.2,B
gautami (1),1725.8,391.9,567.1,58.9,55.5,2.9,29.1,13.2,B
gautami (1),199.3,417.2,600.8,59.1,57,3,1.5,3.6,B
gautami (1),116.1,451,622.7,60.3,58.4,3,2,7.6,B
gautami (1),232.5,911.3,775.4,59,59.3,2.9,50.9,36.3,B
gautami (1),149.1,819.9,753.6,60.6,61.1,3,15.5,20.5,B
gautami (1),531,785.9,724.5,58.4,57.7,2.9,9.3,14.5,B
gautami (1),215.6,817.6,718,58.8,57.6,2.9,2.7,4.2,B
gautami (1),448,368.4,568.2,59.4,56.3,3,22.6,6.2,B
gautami (1),149.6,418.5,555.9,58.4,54.3,2.9,5.7,2.3,B
gautami (1),182.6,834.8,724,58.9,58.5,3,6.3,11.1,B
gautami (1),149.4,809.2,726,60.6,59.7,3,2.4,5.7,B
gautami (1),713.7,809.4,709.4,62.4,61.3,3.1,4.7,16.1,B
gautami (1),149.4,826,707.4,61.1,60.3,3,6.5,3,B
gautami (1),232.5,385.1,557.8,61.3,57.9,3.1,6.3,4.6,B
gautami (1),282.1,413.7,564,60.2,58.6,3,2.4,5.2,B
gautami (1),746.8,386.8,542.7,60.2,56.6,3,4.3,5.2,B
gautami (1),365.3,415.3,543.8,60.9,57,3,4,3.4,B
gautami (1),281.9,325.5,562.6,60.2,57.9,3,3.4,3.5,B
gautami (1),66.8,345.4,573.6,59.8,56,3,1.1,1.3,B
gautami (1),298.5,408,569.8,59.6,56.3,3,20.2,17.7,B
gautami (1),365,823.9,721.1,59.3,58.6,3,27.5,22.5,B
gautami (1),182.4,769.1,683,60.5,59,3,2,9.9,B
gautami (1),315.5,800.5,704.9,60.2,59.8,3,3.1,5.9,B
gautami (1),332.4,815.5,712.5,59.5,59.2,3,2.9,3.7,B
gautami (1),879.5,777.4,706.1,60.7,59.6,3,10.5,6.5,B
gautami (1),398.5,799,711,61,60.7,3.1,4.6,5.3,B
gautami (1),298.8,376.5,569.5,60,57.1,3,5.3,11.4,B
gautami (1),414.7,321.9,535.8,57,54.6,2.9,3.2,7.6,B
gautami (1),481,244.7,533,54.8,54.4,2.8,19.9,11.9,B
gautami (1),149.4,274.8,571,56.1,55.6,2.8,19.8,9.1,B
gautami (1),298.5,277.7,599,56.4,55.5,2.8,10.5,9,B
gautami (1),332.4,406.3,594,59.3,57.1,3,6.5,5.9,B
gautami (1),166.3,269.5,604,59.5,59.9,3,5,9,B
gautami (1),530.7,413.4,599.7,61,59.1,3.1,2.2,8.1,B
gautami (1),166.1,386.4,585.6,61.7,58.8,3,3.4,5.6,B
gautami (1),182.4,365.8,587.2,60.4,58.2,3,4.6,7.8,B
gautami (1),364.8,450.5,572.1,61,57.5,3,5.3,9.7,B
gautami (1),381.7,496.6,565.9,62,58,3.1,8.3,6.2,B
gautami (1),248.8,436.2,574.5,61.3,58.1,3.1,9.5,9.6,B
gautami (1),1178.6,326.9,575.1,59.9,57.3,3,14.3,17.8,B
gautami (1),216,333.5,621.6,60.6,59.2,3,7.3,13.7,B
gautami (1),348.2,379.4,622.6,59.7,58.6,3,2.3,6.4,B
gautami (1),414.8,369.8,616.5,58.2,57,3,4.8,9.7,B
gautami (1),514.5,359.1,600.7,59.2,56.7,3,3.4,11.6,B
gautami (1),1045.9,379.5,602.4,61,58.9,3.1,22.4,11.4,B
gautami (1),514,401.6,585.4,59.4,57.7,3,5.9,19.7,B
gautami (1),215.3,408.3,588.4,60.8,58,3.1,5,3.6,B
gautami (1),365,418.4,588.1,61,58.5,3.1,6,7.9,B
gautami (1),663.8,435.7,589.8,61.2,58.4,3.1,13.9,6.2,B
gautami (1),132.7,478.5,582.3,61,57.1,3,3.4,6.1,B
gautami (1),1028.7,459.4,593.2,59,56.1,3,26.5,27.3,B
gautami (1),547.4,396.8,633.3,59.3,57.8,3,30.1,61.7,B
gautami (1),116.4,451.6,636.6,57.9,57,2.9,1.9,2.8,B
gautami (1),215.8,450.6,577.9,56.5,53.5,2.8,10.3,17.3,B
gautami (1),331.8,435.8,542.6,56.7,53.5,2.9,29.1,15.9,B
gautami (1),132.5,416.2,627.1,57.6,56.1,2.9,30.1,21.7,B
gautami (1),282.1,363,626.1,58.1,56.9,3,41.4,40.5,B
gautami (1),282.3,364.6,613.6,58.9,58.1,3,13.5,15.9,B
gautami (1),215.4,361.6,607.1,60.6,58.5,3.1,5.9,3.5,B
gautami (1),248.7,377.2,603.3,61.5,58.9,3.1,7.2,3.6,B
gautami (1),82.8,483.4,537,60.4,57.6,3.1,2.3,1.2,B
gautami (1),132.6,392.4,609.8,59.4,57.9,3,1.1,4.6,B
gautami (1),464.4,386.3,620.6,61.6,60.6,3.1,7.2,4.8,B
gautami (1),299.1,406.4,618.6,62.8,61.3,3.2,4.4,6.8,B
gautami (1),315.4,415.7,614.4,62.7,60.2,3.2,4.6,7.9,B
gautami (1),265.1,426.3,613.4,61.9,60,3.1,3.8,3.3,B
gautami (1),531.2,435.4,618.6,60.3,58.6,3,10.1,33.2,B
gautami (1),912.5,433.8,634,58.4,57.5,3,40.6,25.9,B
gautami (1),182.7,447.7,605.5,58.7,56.1,3,2.3,3.2,B
gautami (1),99.2,434.2,629.7,58,56.7,3,1.3,1.4,B
gautami (1),780.2,436.9,619.3,58.2,57,3,7.5,24.6,B
gautami (1),497.7,451.2,618.1,58.6,56.2,3,4.2,7.2,B
gautami (1),497.7,468.4,609.5,59.1,56.9,3,10.4,6.6,B
gautami (1),232.6,477.5,611.4,59.1,57.2,3,3.5,16.2,B
gautami (1),779.6,486.3,596.3,58.9,56.4,3,20.4,28.7,B
gautami (1),216.3,505.2,591.7,59,56.6,3,8.5,13.6,B
gautami (1),912.5,517.3,580.2,59.8,56.9,3,10.7,7.8,B
gautami (1),365.1,528.3,572,62.2,59,3.2,4.8,7.6,B
gautami (1),398.3,544.5,568,61.3,58,3.1,7,7,B
gautami (1),746.6,559.4,559.6,61.1,57.5,3.1,12.8,18,B
gautami (1),265.1,572,555.1,61.8,57.6,3.1,6.2,8.4,B
gautami (1),680.4,589.2,552.6,61.9,57.1,3.1,11.8,8.7,B
gautami (1),763.4,593.6,552.7,61.6,57,3.1,6.8,4.9,B
gautami (1),1228,623.9,541.4,62.1,57.1,3.1,19.5,12.9,B
gautami (1),165.4,646.8,550.5,62.1,57.5,3.1,3.1,11.9,B
gautami (1),564,553,614.8,60.3,57.5,3,7.4,45.9,B
gautami (1),99.3,514.5,622.6,58.8,53.7,2.9,15.8,7.2,B
gautami (1),133.2,507.3,522.2,56.9,52.9,2.9,11.9,10.8,B
gautami (1),149.7,479.2,461.1,55.9,50.8,2.9,16.5,20.4,B
gautami (1),282,406.4,512.2,55.8,51.5,2.8,3.6,62.1,B
gautami (1),199.5,456.2,425.6,53.8,48.7,2.8,14.7,22,B
gautami (1),82.8,586.4,417.5,54.8,47.6,2.8,2.8,9.2,B
gautami (1),165.5,894.1,538.9,56.8,52.6,3,9.9,11,B
gautami (1),298.5,878.5,572.7,57.8,54.2,3,2.8,7.4,B
gautami (1),265.3,420.2,432.1,56.1,50.9,2.9,8.6,9.9,B
gautami (1),132.8,376.1,432.9,55.9,51,2.9,6.3,2.9,B
gautami (1),182.2,392.4,462.1,55.3,50.4,2.8,8.4,3.1,B
gautami (1),149.3,335,482,54.9,50.8,2.8,3.9,3.6,B
gautami (1),631,400.9,477.3,55.4,50.4,2.9,7.8,8.3,B
gautami (1),249.4,327.7,477.2,55.1,50.9,2.8,2.1,7.9,B
gautami (1),530.9,518.9,451.7,56.1,49.8,2.8,5.4,14,B
gautami (1),348.9,354.3,473,55.6,51.2,2.8,4.9,8.9,B
gautami (1),215.5,396.9,474.1,56.2,51,2.9,3.1,2.2,B
gautami (1),248.8,411.4,468.4,55,50.7,2.8,3.6,4,B
gautami (1),481.1,328.2,472.1,53.4,50.5,2.8,4.4,9.5,B
gautami (1),415.1,291.2,476.4,52.4,49.9,2.7,4.9,5.5,B
gautami (1),331.9,376.7,435.5,52.9,48.2,2.8,4.3,8.8,B
gautami (1),232,929,579.9,54,51.5,2.9,4.6,12.3,B
gautami (1),83.3,929.7,602.3,54,53.2,2.9,0.9,3.1,B
gautami (1),182.1,481.6,435.4,53.8,47.8,2.8,3.1,12.6,B
gautami (1),199.3,416.5,426.4,52.8,47.7,2.8,3.3,6.8,B
gautami (1),198.7,404.5,451.8,53.2,48.5,2.8,2.3,5.6,B
gautami (1),166.3,530.4,441.5,55.9,48.7,2.8,2.9,7.1,B
gautami (1),381.7,517.3,434.2,54.7,48.5,2.8,11.6,9.3,B
gautami (1),165.9,501.3,435,54,49,2.8,2.3,2.6,B
gautami (1),365.2,596.8,427,55.8,48.8,2.8,7.3,9.3,B
gautami (1),182.7,396.3,469.4,55.9,50.9,2.9,4.1,11.5,B
gautami (1),182.3,328.5,475.4,55,52.2,2.9,6.6,6,B
gautami (1),165.6,384.8,479.5,54.6,50.3,2.8,10.3,19.3,B
gautami (1),514.5,390.1,497.3,54.1,50,2.8,26.6,15.6,B
gautami (1),713.6,292.1,493.9,52.3,50.4,2.8,15.9,28.3,B
gautami (1),199,496.4,448.3,52.3,47.6,2.7,18.2,15,B
gautami (1),863,507.9,429.8,52.2,46.2,2.7,48.7,11.8,B
gautami (1),149.1,558.3,416.1,52.6,46.1,2.7,2,5.4,B
gautami (1),149.2,458.7,429.1,51.8,46.9,2.7,2.3,6.9,B
gautami (1),265.5,256.7,452.3,51.9,49.4,2.8,22.8,13.4,B
gautami (1),99.7,351.3,414.9,53,48.5,2.8,2.9,4,B
gautami (1),348.5,525.3,430.1,54,47,2.8,3.9,12.4,B
gautami (1),315.3,474.3,430.6,52.1,46.9,2.7,3.9,4.9,B
gautami (1),564.1,272.5,464,51.7,49.2,2.7,45.4,9.5,B
gautami (1),679.9,319.1,538.8,53.8,51.4,2.8,69.8,93.2,B
gautami (1),215.7,367.5,570.7,55.8,52.1,2.8,7.4,5,B
gautami (1),1493.5,427.9,527,55.5,51.6,2.8,15.4,11.5,B
gautami (1),249,370.5,559.6,57.3,53.5,3,5.8,6.4,B
gautami (1),198.8,456.9,574,58.2,54.9,3,4.6,6.7,B
gautami (1),282.3,571.2,564.3,59,54.2,3,5.8,12,B
gautami (1),182.7,545.2,564.3,59.8,56,3,4.2,4.4,B
gautami (1),166,577.7,564.2,59.6,55.4,3,4.8,7.7,B
gautami (1),182.2,344.1,587.7,56.3,54.8,2.9,6.9,8.3,B
gautami (1),265.5,605.2,559.1,59.5,54.4,3,9.3,11.3,B
gautami (1),530.8,653.6,550.5,60,54.9,3,7,6.8,B
gautami (1),232.1,676.2,547.8,58.5,54.3,3,2.8,2.3,B
gautami (1),215.5,610.7,553.5,59.2,54.2,3,3,4.8,B
gautami (1),763.5,568,548.8,58.6,54,3,4.1,13.4,B
gautami (1),365.1,328.6,575.1,56.8,54.6,2.9,3.6,8.2,B
gautami (1),348.9,382.1,572.9,56.9,53.4,2.9,2.4,5.4,B
gautami (1),299.2,453.2,568.1,58.4,54.1,3,10.1,5.7,B
gautami (1),431.6,398.2,559.4,56.6,53.8,3,6.6,23.7,B
gautami (1),431.1,425.4,555.7,54.6,51.8,2.8,17.8,31.7,B
gautami (1),448,346.7,544.8,54.1,51.2,2.8,3.6,6.8,B
gautami (1),431.8,373.1,543.4,55.3,52,2.8,5.6,4.7,B
gautami (1),697,418.1,543.4,55.8,52.3,2.9,8.3,3.4,B
gautami (1),232.8,362.9,545.1,56.1,52.6,2.9,2.8,3.1,B
gautami (1),348.5,545.6,519.5,58.7,53,3,4.5,7.4,B
gautami (1),697.3,618.1,516.3,58.6,52.5,3,3.2,9,B
gautami (1),381.7,574.7,517.9,58,52.3,3,4.1,6.7,B
gautami (1),282.2,529.5,522.4,58,53.1,3,2.6,3.5,B
gautami (1),166,337.2,541.8,56.9,54,3,2.9,2.4,B
gautami (1),298.5,564.9,547.4,58.7,54.2,3,5.8,13.2,B
gautami (1),265.4,615.3,570.8,58.6,55,3,20.7,17.2,B
gautami (1),498.3,359.3,621,56.9,55.2,2.9,10.1,19.6,B
gautami (1),149.6,345,619.8,57.2,54.9,2.6,8.9,5.8,B
gautami (1),464.5,325.9,601,54.3,51.1,2.6,20.3,33.1,B
gautami (1),182.3,369.6,606.8,56.8,55.3,2.9,4.3,5.4,B
gautami (1),249,462.6,604.5,57.6,55.2,2.9,10.8,4.1,B
gautami (1),132.8,411.6,612,58.1,56.1,3,6.5,3.4,B
gautami (1),182.5,368.6,615.8,57.9,55.9,2.9,4.2,4.1,B
gautami (1),415,385.3,607.7,58.8,56.5,3,5.3,6.3,B
gautami (1),1111.5,348,617.9,59.2,57.3,3,19.5,14.4,B
gautami (1),912.8,345.9,621.2,59.3,57.6,3,24.7,8.6,B
gautami (1),232.4,560.7,583.2,60.7,56.9,3,4.8,24.2,B
gautami (1),149.1,513.9,612.8,58.9,56.6,3,2.7,2.8,B
gautami (1),215.7,464.5,571.8,56.3,53.1,2.8,3.8,9.4,B
gautami (1),182.1,366.3,636.8,54.5,53.2,2.8,4.4,18.5,B
gautami (1),398.2,292.7,649.9,56.3,56.1,2.9,11.5,13.9,B
gautami (1),348.4,281,642.3,58.7,58.7,3,7.2,5.7,B
gautami (1),315.8,260.6,639.6,57.9,58.2,3,2.6,4,B
gautami (1),149.4,644.6,585.8,61.3,57.2,3.1,7,4.6,B
gautami (1),99.7,604.9,576.3,61.7,58,3.1,3.2,4.2,B
gautami (1),266,570.1,557.8,60,55.2,3,3.3,10.1,B
gautami (1),364.8,595.8,563.5,58.5,54.6,2.9,2.9,3.1,B
gautami (1),315.7,561.6,568,57,53.5,2.9,2.6,2.9,B
gautami (1),979.2,591.1,566.2,60.3,55.8,3,5.3,6.4,B
gautami (1),99.5,337.5,631.7,60.8,58.8,3.1,2,3.5,B
gautami (1),198.9,283.9,643,60.4,60.1,3,1.4,5.2,B
gautami (1),1427.5,269.7,638.2,60.5,61.1,3.1,9.3,14.5,B
gautami (1),382,287.5,634.1,60,60.3,3.1,3.4,6.6,B
gautami (1),414.9,300.9,630.4,61.4,60.4,3.1,4.8,5.5,B
gautami (1),265.4,316.7,627,61.6,61.1,3.2,3.7,6.3,B
gautami (1),332.2,340.6,620.9,61.1,59.4,3.1,5.8,5.7,B
gautami (1),747.1,355.4,619.3,60.2,58.8,3.1,23.2,36.5,B
gautami (1),115.9,408.7,504.8,59.9,55.3,3.1,46,47.8,B
gautami (1),265.6,709,425.8,58.3,52.5,3.1,92.2,65.9,B
gautami (1),166,681.8,348.4,55.1,46.8,2.9,7.4,9.3,B
gautami (1),116.1,821.4,376.7,54.6,49.1,3,13.8,8.3,B
gautami (1),249.2,1266.6,373.1,50.1,51.5,3.4,10.4,26.2,B
gautami (1),398.4,609.6,390.8,58.3,50.9,3,25.5,14.1,B
gautami (1),149.1,667.5,367.4,57.4,48.9,3,52.3,23.9,B
gautami (1),132.5,687.1,386.5,56.9,48.9,3,12.2,32.1,B
gautami (1),364.8,705.4,412.3,59.1,50.6,3.1,18.1,14.3,B
gautami (1),364.8,697.1,401.6,60.2,51,3.2,2.5,17.7,B
gautami (1),215.3,613.7,416.3,59.7,50.9,3.1,2.6,9.1,B
gautami (1),149.5,467.3,479.8,58.2,53,3,1.9,8.3,B
gautami (1),166,396.8,466,57.2,52.2,3,2.6,4.8,B
gautami (1),116.1,485.7,466.5,58.7,52.4,3,4.1,4.6,B
gautami (1),232.4,538.1,402.2,57.5,49,3,3.4,3,B
gautami (1),182.8,497.5,388,57.9,48.9,3,2.1,3.6,B
gautami (1),199.2,452.4,364,56.5,47.8,3,2.9,2.7,B
gautami (1),182.2,621.9,410.1,57.3,48.3,3,3,11.3,B
gautami (1),99.2,384.9,591.2,56.7,53.5,2.9,2.7,6.5,B
gautami (1),348.9,399.7,566.5,56.6,53.1,2.9,2.7,7.8,B
gautami (1),249.4,376.3,569.1,57.7,54.7,3,4.2,4.3,B
gautami (1),315.1,399.9,543.7,58.2,53.5,3,19,9.7,B
gautami (1),813.1,386,584.2,58.3,55,3,8.4,13.8,B
gautami (1),282.2,397.9,597.6,58.8,55.4,3,3.6,3.9,B
gautami (1),215.4,406.4,593.3,59.1,56,3,2.8,2.5,B
gautami (1),232.3,420.9,594.2,60.5,56.4,3,8.3,52.5,B
gautami (1),149.6,436.4,585.6,60.4,56,3.1,10.1,2.1,B
gautami (1),614.5,446.4,591.7,58.7,55,3,4.9,8.5,B
gautami (1),182.1,386.9,582.9,56.7,53,2.8,3.3,5.3,B
gautami (1),149.4,432.6,587.1,57,53.3,2.9,3.4,7,B
gautami (1),2124.1,462.4,593.4,57.5,54,2.9,27.6,8.8,B
gautami (1),630.2,495.1,588.9,58.2,54.9,3,11.2,7.1,B
gautami (1),331.8,517.1,585.3,58.5,54.6,3,23.6,18.8,B
gautami (1),199.2,495.3,463.4,56.4,49.6,2.9,4.9,5.5,B
gautami (1),99.5,499.3,545,57.8,52.3,2.9,2.7,4.7,B
gautami (1),215.4,526.7,576.8,57.3,52.5,2.9,3.3,6.6,B
gautami (1),215.5,550.9,574.5,56.4,52.5,2.9,3.6,3.3,B
gautami (1),265.7,563,565.8,56.9,51.5,2.9,2.6,7,B
gautami (1),514.2,585,555,57.9,51.8,2.9,4.6,10.6,B
gautami (1),182.5,383.3,580.5,56.4,53.5,2.9,11.2,10.9,B
gautami (1),298.4,592.8,595.1,58.8,54.8,3,29.7,10.7,B
gautami (1),248.7,569.5,558.3,58.6,53.7,3,8.3,5.8,B
gautami (1),83.4,387.5,604.8,57.2,54,2.9,3.3,9.5,B
gautami (1),149.6,368.6,597.5,56.9,53.7,2.9,2.6,3.4,B
gautami (1),132.9,486,582.3,56.1,52.4,2.8,7.5,2.2,B
gautami (1),149.2,559.9,605.1,56,52.9,2.8,2.5,4.4,B
gautami (1),232.1,570.9,604.1,56.5,53.1,2.8,2.9,3.3,B
gautami (1),182.3,339.5,613.6,56.5,55,2.9,4.6,8.2,B
gautami (1),149.8,313,621.6,57,55,2.9,2.5,3,B
gautami (1),215.3,588.3,610.1,58.6,54.8,3,7,10.4,B
gautami (1),331.7,605.2,608.1,60,56.5,3,5.4,6.6,B
gautami (1),414.8,612.7,600.3,60.8,56.5,3,6.1,7.9,B
gautami (1),265.4,618.7,602.6,58.3,53.8,2.6,47.7,12,B
gautami (1),1825.6,624.8,588.2,59,54.7,3,77.5,67.5,B
gautami (1),149.5,521.6,641.7,59.6,56.6,3,11.7,19,B
gautami (1),929.4,539,571.3,57.8,54.1,2.9,30.9,118.2,B
gautami (1),198.9,469.5,587,59.2,56.3,3,14.4,9.3,B
gautami (1),829.8,603.1,522.8,61.2,57.2,3.1,35.3,38.8,B
gautami (1),199.4,562.9,543.7,62.1,58,3.1,12.7,9.6,B
gautami (1),99.4,535.4,564.1,61.5,58.2,3.1,18.9,7.2,B
gautami (1),166,423.7,663.4,61.1,59.6,3,17.9,34.2,B
gautami (1),365.5,416.8,660.5,59.1,58.3,3,15.7,10.1,B
gautami (1),166,658.4,544.7,60.1,55.3,3.1,10.3,12.9,B
gautami (1),133.2,547.4,520.5,60.4,55,3,11.7,6.4,B
gautami (1),232.2,448.6,674.4,59.4,58.1,3,9.9,38.7,B
gautami (1),165.9,475.8,608.7,58,55.8,2.9,4.1,12.8,B
gautami (1),182.3,354.6,570.4,57.1,54.8,3,3.3,6.4,B
gautami (1),249.2,413.3,549.1,57,53.7,2.9,7.7,3.7,B
gautami (1),365.3,455.6,587,56.9,54,2.9,6.6,5.5,B
gautami (1),132.7,475.3,639.5,58,55.4,2.9,1.3,2,B
gautami (1),315.6,451.6,658.2,57.2,55.7,2.9,3.6,3.5,B
gautami (1),249,617.1,489.3,59.5,51.2,3,4.7,2.7,B
gautami (1),929.7,477.9,657.1,59.3,56.8,3,17.3,16.4,B
gautami (1),432.1,494.1,654.6,59.6,57.2,3,14.9,6.7,B
gautami (1),663.7,482.8,635.7,57.9,55.3,2.9,42.8,33.4,B
gautami (1),299.2,481.4,612,57.7,54.7,2.9,4,18.3,B
gautami (1),564.3,496.3,624.3,56.9,54.4,2.9,9.4,18.4,B
gautami (1),763.3,511.1,649.9,58.2,55.8,2.9,14.9,35.5,B
gautami (1),182.1,238.6,655.2,54.8,56.5,2.8,6.9,27,B
gautami (1),464.8,540.1,644.7,56.2,54.1,2.8,20.8,23.4,B
gautami (1),298.9,553,591.2,56.2,53.1,2.8,1.9,6.1,B
gautami (1),183,602.8,580.5,58.2,53.7,2.9,3.5,4.7,B
gautami (1),249,292.5,627.1,55.3,54.6,2.8,4.2,10.8,B
gautami (1),132.8,416.2,589.7,56.6,53.8,2.9,2.7,5.9,B
gautami (1),249,554.3,611.1,56.1,54.1,2.8,4.8,11.6,B
gautami (1),149.3,607,582.9,56.6,53.4,2.9,3.9,7.2,B
gautami (1),464.7,586.8,632.6,56.6,53.8,2.8,4.3,10.3,B
gautami (1),265.8,600.2,626.9,57.1,54.4,2.8,5.2,5.7,B
gautami (1),99.7,610.3,624,57.3,54.5,2.9,1.8,1.3,B
gautami (1),298.4,571.3,580.6,56.2,53.2,2.9,3.8,3.8,B
gautami (1),182.5,561.4,594.8,57.5,54.6,2.9,15.8,14.9,B
gautami (1),830,551.1,576,57.6,54.4,2.9,15.5,28.9,B
gautami (1),1211.6,577.7,566.7,59.8,55.3,3,16.4,5.4,B
gautami (1),730.8,556.4,580.4,61.7,57.6,3.1,12.6,10.1,B
gautami (1),2638.8,574.9,578.9,61.7,57.5,3.1,28.8,41.1,B
gautami (1),199.3,609,616.5,61.6,58.6,3.1,3.3,18.9,B
gautami (1),132.9,582.1,584.1,58.8,55.3,2.9,5.7,3.6,B
gautami (1),132.7,551.5,602.1,56.9,53.6,2.8,8.5,10,B
gautami (1),199.5,577.8,640.6,56.2,53.1,2.8,3.2,6.8,B
gautami (1),182.7,597.9,630.5,55.1,52.7,2.8,3.6,4.3,B
gautami (1),564.7,608.9,623,56.4,53.1,2.8,12.5,4.6,B
gautami (1),249.1,480.2,656.5,58.1,55.7,2.9,5.6,8.7,B
gautami (1),314.9,410.8,625.4,57.7,55.6,2.9,3.4,6.7,B
gautami (1),298.7,357.9,588,55.6,53.2,2.8,2.8,7,B
gautami (1),298.5,630.6,622.3,57,54.3,2.9,3.1,8,B
gautami (1),149.5,472,649.6,57.4,55.1,2.8,2.5,6.8,B
gautami (1),249.1,540.2,538.2,57.5,52.9,2.9,3.6,14,B
gautami (1),232.4,482.3,512.9,55.4,50.8,2.8,2.8,3.8,B
gautami (1),265.1,457.4,478.1,53.1,49.9,2.8,2.9,3.5,B
gautami (1),148.9,330.5,573.7,53.2,51.9,2.8,2.5,6.3,B
