Participant,Event Duration [ms],Saccade Start Position X [px],Saccade Start Position Y [px],Saccade End Position X [px],Saccade End Position Y [px],Saccade Amplitude [°],Saccade Acceleration Average [°/s²],Saccade Acceleration Peak [°/s²],Saccade Deceleration Peak [°/s²],Saccade Velocity Average [°/s],Saccade Velocity Peak [°/s],Saccade Peak Velocity at [%],Label
calvin (1),49.3,276.6,130.1,297.1,151.4,0.9,1982.8,2108,1749.9,34.4,55.4,33.7,B
calvin (1),33.4,218.6,67.7,199.6,43.9,0.5,2514.9,4970.3,59.5,85.2,85.7,49.2,B
calvin (1),66.2,244.5,92.5,281.1,134.6,0.5,4356.8,10147.2,3.9,67.5,113.8,50,B
calvin (1),49.6,272.6,127.4,229.3,78.8,0.7,1827.7,5433,0,60,90.3,33.5,B
calvin (1),66.7,293.2,152.3,191.7,28.6,1.4,11004,22538.1,449.6,114,381.3,50.2,B
calvin (1),50,260.4,107.3,296.6,147.8,0.6,10658.8,18544.9,1062.1,105.8,223.9,34,B
calvin (1),32.9,293.1,137.4,269.3,111.7,0.9,3073.8,6086.8,60.7,97.8,98.3,0,B
calvin (1),66.3,228.3,56.1,168.2,-20.8,0.7,6444.7,13684.9,4.6,82.3,198.9,50.5,B
calvin (1),49.9,260.6,103.8,107,-106.5,1.5,26122.4,39884.3,403.2,240.1,666.7,33.5,B
calvin (1),331.7,143.8,-52.5,23.5,-242.4,0.8,244014.7,1913376,7.7,3496.3,27850.9,9.9,B
calvin (1),66.4,14.3,-261.5,189.1,8.9,1.2,13547,27309,3959.7,227,443.5,25,B
calvin (1),1028.6,163.9,-32.2,-255.9,-802.1,2.2,2757061.6,41738242.7,11.2,34193.4,359855.5,64.5,B
calvin (1),99.7,-219.1,-732.2,-16.9,-338.2,0.8,10349.2,31786.2,1.4,212.3,512.7,49.9,B
calvin (1),779.6,61.3,-202.3,-22,-337.9,0.4,186902.7,1682304.3,13.8,2115.3,19565.6,61.7,B
calvin (1),49.8,40.6,-226.6,284.6,124.3,2.4,40059.1,59008.6,3981.8,453.9,1092.1,32.8,B
calvin (1),116.2,262.2,96.1,364.2,505.6,5.2,16689.1,35558,652.3,226.5,688,28.3,B
calvin (1),66.2,446.8,436.1,353.5,253.4,2.6,13526.6,26293.8,2339.2,151.2,416.4,49.8,B
calvin (1),66.4,348.8,244.9,420.6,354.1,2,12449.1,26180.7,51,122.6,368.1,50.2,B
calvin (1),83.1,405.2,323,213.1,71.2,3.3,12695.8,29691.7,24.8,181.5,528.2,40.1,B
calvin (1),66.1,254.3,116.1,431.2,386.5,3.6,16479.6,31975.7,4.6,227.7,529.9,24.8,B
calvin (1),82.5,385.6,260.8,138.1,-52.2,3.5,15692.8,32246.9,1461.7,229.6,628.6,39.6,B
calvin (1),49.6,72.9,-127.7,227.6,83.3,1.6,35365.6,55368.6,4.6,310.2,832.5,33,B
calvin (1),49.7,58.8,-156.4,174.8,-2.5,1.2,20429.5,30552.4,3389.5,180.5,501,33.1,B
calvin (1),49.8,141.9,-50.9,220,48.2,1.1,4357.9,11012.7,478.9,122,179.7,66.4,B
calvin (1),49.9,254.5,107.9,291.4,147.9,0.7,3202.6,8245.7,1.7,67.4,86.5,33,B
calvin (1),66.7,258.7,114,-63.1,-355.9,3.2,33837.5,69404.3,205.8,425.1,1241.4,49.7,B
calvin (1),66.7,-48.2,-337.9,246.7,95.3,2.5,30005.9,62182.9,590.6,384.7,1042.5,50.2,B
calvin (1),995.6,257.9,109,1265.4,3875.3,9.2,778544.3,12889187.4,1.7,9921.2,151677.2,61.7,B
calvin (1),431.7,831.2,3141.1,419.5,213.5,6.9,1298618,5481750.4,403.2,15065.9,85051.6,53.9,B
calvin (1),713.4,409.2,197.6,313.7,38.7,1.4,1721399.8,31341681.6,50.8,19718.6,355798.3,25.6,B
calvin (1),149.6,321.5,47.4,576.5,620.4,8.9,21265.1,57385.2,494.2,222,979.3,11,B
calvin (1),49.5,556.3,497.6,563.9,529,1,2446,6499.6,3.8,38.5,98.7,66.8,B
calvin (1),49.8,155.8,56.7,266,172.9,1.6,26354.3,34590.8,10450.2,207.8,515.1,32.6,B
